,BarName,AddressVicinity,PriceLevel,Rating,BusinessStatus,LatLong
526,Rosewood Washington DC,"1050 31st St NW, Washington",,4.7,OPERATIONAL,"38.9039939,-77.06145599999999"
527,Chez Billy Sud,"1039 31st St NW, Washington",2.0,4.6,OPERATIONAL,"38.9036388,-77.0609211"
528,The Sovereign,"1206 Wisconsin Avenue Northwest, Washington",2.0,4.5,OPERATIONAL,"38.9054976,-77.0630501"
529,Manhattan Bar & Grill,"3116 M Street Northwest, Washington",,3.0,OPERATIONAL,"38.9049603,-77.0617728"
532,Top of the Gate,"2650 Virginia Avenue Northwest, Washington",3.0,4.0,OPERATIONAL,"38.899277,-77.0557669"
533,The Next Whisky Bar,"2650 Virginia Avenue Northwest, Washington",3.0,4.1,OPERATIONAL,"38.899384,-77.055791"
535,Verre Wine Bar,"2415 Wilson Boulevard, Arlington",,4.6,OPERATIONAL,"38.8909269,-77.08765129999999"
545,Ms. Peacock's Champagne Lounge,"929 North Garfield Street, Arlington",,5.0,OPERATIONAL,"38.8841961,-77.0933659"
546,The Board Room VA,"925 North Garfield Street, Arlington",,4.4,OPERATIONAL,"38.8842073,-77.093164"
547,Quinn's,"1776 Wilson Boulevard, Arlington",2.0,4.4,OPERATIONAL,"38.8937922,-77.07844419999999"
548,Barley Mac,"1600 Wilson Boulevard #100, Arlington",2.0,4.3,OPERATIONAL,"38.89409730000001,-77.07736229999999"
551,american legion,"22209, North Kansas Street, Arlington",1.0,,OPERATIONAL,"38.8951425,-77.0727915"
552,Connexion,Arlington,,3.8,OPERATIONAL,"38.8997092,-77.0729602"
>>>>>>> 651cd1fba7044d602161b3d93a73f5a677585bb5
